epoch,train_loss,train_acc,val_loss,val_acc,lr_backbone,lr_head
1,2.230182,0.333333,1.412461,0.661538,5.000000e-05,5.000000e-04
2,1.614485,0.569923,1.175392,0.771154,4.986305e-05,4.986305e-04
3,1.443960,0.647031,1.129979,0.782692,4.945369e-05,4.945369e-04
4,1.378379,0.671456,1.038398,0.796154,4.877641e-05,4.877641e-04
5,1.322356,0.708812,1.014058,0.853846,4.783864e-05,4.783864e-04
6,1.203405,0.749521,0.810044,0.951923,4.665064e-05,4.665064e-04
7,0.944564,0.865900,0.768612,0.932692,4.522542e-05,4.522542e-04
8,0.855857,0.897031,0.721043,0.961538,4.357862e-05,4.357862e-04
9,0.779776,0.940613,0.710599,0.951923,4.172827e-05,4.172827e-04
10,0.783965,0.931992,0.688007,0.963462,3.969463e-05,3.969463e-04
11,0.768626,0.934387,0.675884,0.963462,3.750000e-05,3.750000e-04
12,0.730149,0.954981,0.672265,0.969231,3.516842e-05,3.516842e-04
13,0.727084,0.953065,0.638604,0.986538,3.272542e-05,3.272542e-04
14,0.707001,0.961686,0.646357,0.980769,3.019779e-05,3.019779e-04
15,0.701535,0.966475,0.633456,0.990385,2.761321e-05,2.761321e-04
16,0.687542,0.969828,0.616223,0.994231,2.500000e-05,2.500000e-04
17,0.682774,0.973659,0.671499,0.973077,2.238679e-05,2.238679e-04
18,0.657964,0.985153,0.620735,0.994231,1.980221e-05,1.980221e-04
19,0.661033,0.983238,0.615722,0.996154,1.727458e-05,1.727458e-04
20,0.653892,0.984674,0.612181,0.998077,1.483158e-05,1.483158e-04
21,0.643152,0.986111,0.620710,0.994231,1.250000e-05,1.250000e-04
22,0.641227,0.986590,0.610522,0.998077,1.030537e-05,1.030537e-04
23,0.635657,0.989943,0.619666,0.992308,8.271735e-06,8.271735e-05
24,0.635005,0.990421,0.610578,0.998077,6.421379e-06,6.421379e-05
25,0.646090,0.985632,0.608871,1.000000,4.774575e-06,4.774575e-05
26,0.630526,0.991379,0.607229,1.000000,3.349365e-06,3.349365e-05
27,0.627272,0.993774,0.608473,1.000000,2.161364e-06,2.161364e-05
28,0.626699,0.994253,0.608318,1.000000,1.223587e-06,1.223587e-05
29,0.624978,0.993774,0.607758,1.000000,5.463100e-07,5.463100e-06
30,0.631516,0.989464,0.607762,1.000000,1.369526e-07,1.369526e-06
