epoch,train_loss,train_loss_hm,train_loss_wh,train_loss_off,val_loss,val_loss_hm,val_loss_wh,val_loss_off,map,map50,map75,micro_p,micro_r,micro_f1,macro_p,macro_r,macro_f1,ar1,ar10,ar100,ap_c0,ap_c1,ap_c2,ap_c3,ap_c4,ap_c5,ap_c6,ap_c7,ap_c8,ap_c9,ap_c10,ap_c11,ap_c12,ap_c13,ap_c14,ap_c15,ap_c16,ap_c17,ap_c18,ap_c19,ap_c20,ap_c21,lr,epoch_time_sec
1,2.896844,1.094642,0.348011,0.125868,1.527892,0.536017,0.205782,0.103945,0.263299,0.302713,0.031892,0.017139,0.639271,0.033384,0.026329,0.362853,0.049095,0.106158,0.588907,0.598409,0,0.052175,0.000158,0,0.034667,0.01714,0.032098,0,0.258277,0.004375,0.05642,0.013128,0,0.009499,0.015364,0.384389,0.439843,0.582282,0.442045,0.949328,0.627821,0.418154,1.00E-03,2242.005
2,1.549746,0.555977,0.169286,0.095097,1.243765,0.484164,0.204498,0.07588,0.451854,0.552558,0.208833,0.024744,0.926215,0.0482,0.046423,0.550021,0.085619,0.152757,0.803191,0.813596,0,0.872119,0.000014,0,0.162424,0.31152,0.358272,0.077916,0.272549,0.000824,0,0.499758,0.196704,0.04507,0.354079,0.887684,0.872482,0.87246,0.569693,0.960781,0.432179,0.519963,9.98E-04,1575.952
3,1.398171,0.519224,0.150831,0.0877,1.184754,0.432556,0.151956,0.084941,0.489967,0.606417,0.226488,0.035016,0.949742,0.067542,0.055883,0.608651,0.102368,0.148915,0.80245,0.815637,0,0.869285,0.000022,0.026766,0.051914,0.580922,0.465627,0.13157,0.288898,0.131234,0.00007,0.691936,0.000018,0.391673,0.641922,0.893327,0.775596,0.918717,0.729818,0.958076,0.923778,0.527953,9.94E-04,731.178
4,1.317829,0.496476,0.144415,0.084406,1.215758,0.59751,0.177649,0.075319,0.4732,0.591446,0.19169,0.033784,0.92083,0.065177,0.084509,0.587711,0.147769,0.150012,0.794553,0.80845,0,0.741307,0.071905,0.177606,0.025258,0.685386,0.448016,0.000636,0.480472,0.000182,0.045285,0.628165,0.079157,0.183851,0.518157,0.910691,0.89812,0.944787,0.555752,0.808208,0.458386,0.413949,9.86E-04,670.285
5,1.261166,0.475701,0.137328,0.079881,1.075286,0.410657,0.115507,0.075474,0.511371,0.639942,0.215381,0.044123,0.949069,0.084325,0.078112,0.62835,0.138951,0.151522,0.799023,0.810275,0,0.930412,0.000578,0.01084,0.136259,0.651115,0.471526,0.093709,0.419167,0.145896,0.089519,0.757373,0.028264,0.342985,0.523313,0.857147,0.625831,0.923797,0.834322,0.92465,0.936295,0.678933,9.76E-04,598.045
6,1.225139,0.467889,0.124687,0.079239,1.040446,0.446493,0.104829,0.069973,0.552918,0.666469,0.294999,0.0469,0.961074,0.089436,0.095248,0.665837,0.166656,0.156055,0.834575,0.846337,0,0.663524,0.000043,0.110705,0.068712,0.788128,0.536432,0.040058,0.555316,0.094948,0.571936,0.707622,0.074065,0.28073,0.794854,0.911811,0.811138,0.901467,0.783028,0.982012,0.944658,0.53943,9.62E-04,600.667
7,1.17782,0.453105,0.119656,0.076938,1.012709,0.441587,0.102631,0.072235,0.58875,0.704365,0.34313,0.04752,0.967631,0.090591,0.099671,0.675913,0.173724,0.159552,0.848795,0.861931,0,0.978939,0.005784,0.013993,0.18391,0.758203,0.467566,0.092545,0.623482,0.181372,0.306334,0.90328,0.150082,0.358155,0.680462,0.946587,0.924796,0.923031,0.853603,0.984263,0.908538,0.57726,9.46E-04,589.268
8,1.132028,0.444929,0.119366,0.075803,0.999291,0.427089,0.097568,0.07161,0.602658,0.72504,0.327136,0.048372,0.96084,0.092108,0.103791,0.688054,0.180373,0.158969,0.846301,0.858801,0,0.849772,0.053308,0.123593,0.18449,0.809193,0.816795,0.000445,0.366548,0.472095,0.324397,0.884071,0.004352,0.529984,0.857088,0.889549,0.920705,0.955925,0.803622,0.997254,0.988134,0.614791,9.26E-04,607.801
9,1.112593,0.441565,0.113587,0.074681,0.963285,0.405117,0.099769,0.070821,0.6214,0.715106,0.380322,0.063934,0.951476,0.119817,0.119164,0.728561,0.204826,0.159214,0.848561,0.859253,0,0.951432,0,0.187111,0.079864,0.819364,0.824342,0.099475,0.449336,0.429959,0.7098,0.905827,0.505526,0.467208,0.863968,0.725364,0.650138,0.966836,0.748206,0.960612,0.965097,0.531021,9.05E-04,580.061
10,1.071064,0.430246,0.112731,0.074739,0.950633,0.411434,0.099417,0.068803,0.641269,0.75937,0.386702,0.065081,0.973246,0.122004,0.131914,0.734142,0.223642,0.160884,0.865117,0.878836,0,0.965568,0.180679,0.013397,0.195027,0.778312,0.81523,0.003482,0.607569,0.479247,0.714031,0.875424,0.278178,0.585976,0.867619,0.953933,0.971747,0.940297,0.843474,0.976959,0.977687,0.569141,8.80E-04,644.944
