epoch,loss,precision@0.5,recall@0.5,f1@0.5,TP,FP,FN
1,0.000125,0.343823,0.000000,0.000000,0.000000,0,0,1612
2,0.0001875,0.195382,0.000000,0.000000,0.000000,0,0,1612
3,0.0001875,0.195961,0.000000,0.000000,0.000000,0,0,1612
4,0.000187454,0.179064,0.000000,0.000000,0.000000,0,0,1612
5,0.000187315,0.168026,0.000000,0.000000,0.000000,0,0,1612
6,0.000187084,0.162599,85.714286,0.372208,0.741198,6,1,1606
7,0.000186761,0.157072,80.198020,5.024814,9.457093,81,20,1531
8,0.000186346,0.151109,77.272727,7.382134,13.476784,119,35,1493
9,0.000185839,0.150709,55.220418,14.764268,23.299070,238,193,1374
10,0.000185242,0.145444,51.259259,21.464020,30.257980,346,329,1266
11,0.000184555,0.141104,50.165380,28.225806,36.125447,455,452,1157
12,0.000183778,0.138173,49.582638,36.848635,42.277580,594,604,1018
13,0.000182912,0.140585,49.747155,48.821340,49.279900,787,795,825
14,0.000181958,0.137249,49.879865,64.392060,56.214460,1038,1043,574
15,0.000180917,0.135622,49.596965,64.888337,56.221446,1046,1063,566
16,0.000179789,0.131232,49.420849,71.464020,58.432665,1152,1179,460
17,0.000178578,0.125460,48.665915,80.334988,60.613152,1295,1366,317
18,0.000177282,0.127642,47.546347,81.141439,59.958744,1308,1443,304
19,0.000175904,0.123763,48.131007,83.870968,61.162633,1352,1457,260
20,0.000174445,0.122311,48.776224,86.538462,62.388193,1395,1465,217
21,0.000172906,0.121586,50.161233,86.848635,63.593005,1400,1391,212
22,0.000171289,0.120486,48.417829,88.275434,62.535706,1423,1516,189
23,0.000169595,0.118984,49.030942,89.454094,63.342851,1442,1499,170
24,0.000167827,0.115879,48.786244,89.764268,63.215378,1447,1519,165
25,0.000165986,0.115280,47.420698,91.811414,62.539615,1480,1641,132
26,0.000164073,0.115880,46.970663,91.377171,62.047178,1473,1663,139
27,0.000162091,0.115102,45.940171,93.362283,61.579378,1505,1771,107
28,0.000160041,0.113902,45.997537,92.679901,61.481481,1494,1754,118
29,0.000157926,0.110737,45.496044,92.741935,61.045325,1495,1791,117
30,0.000155748,0.111445,45.712542,92.928040,61.280425,1498,1779,114
31,0.000153508,0.108857,46.505212,94.106700,62.248666,1517,1745,95
32,0.00015121,0.107749,47.427502,94.354839,63.125130,1521,1686,91
33,0.000148855,0.109633,48.523748,93.796526,63.959391,1512,1604,100
34,0.000146445,0.107577,48.514851,94.230769,64.052288,1519,1612,93
35,0.000143984,0.107620,47.704403,94.106700,63.313856,1517,1663,95
36,0.000141473,0.106387,47.581903,94.602978,63.317417,1525,1680,87
37,0.000138914,0.103820,47.808391,94.727047,63.545568,1527,1667,85
38,0.000136312,0.103032,48.082967,94.913151,63.829787,1530,1652,82
39,0.000133667,0.102534,49.054790,94.975186,64.694697,1531,1590,81
40,0.000130983,0.099039,48.406437,95.161290,64.170676,1534,1635,78
41,0.000128262,0.102102,48.634053,94.975186,64.327731,1531,1617,81
42,0.000125507,0.100152,48.836468,95.037221,64.518846,1532,1605,80
43,0.00012272,0.101505,48.104043,95.223325,63.918384,1535,1656,77
44,0.000119905,0.097674,49.340624,95.161290,64.986232,1534,1575,78
45,0.000117065,0.098071,49.805195,95.161290,65.387894,1534,1546,78
46,0.000114201,0.099796,48.904414,95.533499,64.692292,1540,1609,72
47,0.000111317,0.097291,48.984127,95.719603,64.804704,1543,1607,69
48,0.000108416,0.098470,49.315068,96.029777,65.165228,1548,1591,64
49,0.0001055,0.097247,50.327439,95.347395,65.880840,1537,1517,75
50,0.000102573,0.095445,50.424559,95.781638,66.067608,1544,1518,68
51,9.96366e-05,0.094027,50.228758,95.347395,65.796233,1537,1523,75
52,9.66948e-05,0.092770,51.799529,95.533499,67.175573,1540,1433,72
53,9.375e-05,0.092935,52.477936,95.905707,67.836771,1546,1400,66
54,9.08052e-05,0.091125,52.047377,95.409429,67.352748,1538,1417,74
55,8.78634e-05,0.091719,53.250346,95.533499,68.383659,1540,1352,72
56,8.49273e-05,0.092041,55.001793,95.161290,69.711429,1534,1255,78
57,8.2e-05,0.091786,53.154085,95.657568,68.335918,1542,1359,70
58,7.90843e-05,0.092815,54.452297,95.595533,69.383161,1541,1289,71
59,7.6183e-05,0.089652,53.514266,95.409429,68.568881,1538,1336,74
60,7.32991e-05,0.091139,54.439335,95.471464,69.339941,1539,1288,73
