epoch,lr,loss,precision@0.5,recall@0.5,f1@0.5,TP,FP,FN,energy_gamma,energy_temp,TKR,TUR,KP
11,7.64658e-06,0.120449,53.902602,50.092994,51.928021,808,691,805,8,1,,,
12,7.64407e-06,0.120292,52.883436,53.440794,53.160654,862,768,751,8,1,,,
13,7.63987e-06,0.119338,53.273810,55.486671,54.357729,895,785,718,8,1,,,
14,7.63401e-06,0.117631,52.168950,56.664600,54.323923,914,838,699,8,1,,,
15,7.62647e-06,0.115630,54.113039,59.950403,56.882353,967,820,646,8,1,,,
16,7.61727e-06,0.114390,52.231405,58.772474,55.309218,948,867,665,8,1,,,
17,7.6064e-06,0.113267,53.014295,52.882827,52.948479,853,756,760,8,1,,,
18,7.59387e-06,0.114142,51.702611,56.478611,53.985185,911,851,702,8,1,,,
19,7.57969e-06,0.115192,51.637427,54.742715,53.144749,883,827,730,8,1,,,
20,7.56386e-06,0.113873,51.214128,57.532548,54.189781,928,884,685,8,1,,,
21,7.54639e-06,0.113632,50.647887,55.734656,53.069658,899,876,714,8,1,,,
22,7.52729e-06,0.114160,49.971314,53.998760,51.907032,871,872,742,8,1,,,
23,7.50656e-06,0.115576,48.697501,56.788593,52.432742,916,965,697,8,1,,,
24,7.48422e-06,0.114882,50.058685,52.882827,51.432017,853,851,760,8,1,,,
25,7.46027e-06,0.112214,48.558758,54.308741,51.273047,876,928,737,8,1,,,
26,7.43473e-06,0.112749,52.890792,61.252325,56.765297,988,880,625,8,1,,,
27,7.4076e-06,0.109738,50.055928,55.486671,52.631579,895,893,718,8,1,,,
28,7.3789e-06,0.109825,49.045226,60.508369,54.177075,976,1014,637,8,1,,,
29,7.34865e-06,0.110539,47.520661,57.036578,51.845590,920,1016,693,8,1,,,
30,7.31684e-06,0.109240,47.890947,57.718537,52.347484,931,1013,682,8,1,,,
31,7.28351e-06,0.109516,47.400000,58.772474,52.477166,948,1052,665,8,1,,,
32,7.24865e-06,0.110207,43.064935,51.394916,46.862634,829,1096,784,8,1,,,
33,7.21229e-06,0.109821,48.105864,57.470552,52.372881,927,1000,686,8,1,,,
34,7.17445e-06,0.107637,46.417760,57.036578,51.182197,920,1062,693,8,1,,,
35,7.13514e-06,0.110476,48.074866,55.734656,51.622165,899,971,714,8,1,,,
36,7.09437e-06,0.109941,48.657188,57.284563,52.619590,924,975,689,8,1,,,
37,7.05217e-06,0.110052,49.376017,56.416615,52.662037,910,933,703,8,1,,,
38,7.00856e-06,0.106472,46.832814,55.920645,50.974852,902,1024,711,8,1,,,
39,7.00779e-06,0.106862,40.098765,50.340980,44.639912,812,1213,801,8,1,,,
40,7.00548e-06,0.109938,39.669811,52.138872,45.057594,841,1279,772,8,1,,,
41,7.00164e-06,0.106680,43.539055,55.982641,48.982913,903,1171,710,8,1,,,
42,6.99627e-06,0.106203,40.928074,54.680719,46.815287,882,1273,731,8,1,,,
43,6.98936e-06,0.104071,40.428380,56.168630,47.016087,906,1335,707,8,1,,,
44,6.98093e-06,0.106544,43.660532,52.944823,47.856542,854,1102,759,8,1,,,
45,6.97097e-06,0.103866,41.363163,49.287043,44.978784,795,1127,818,8,1,,,
46,6.95948e-06,0.104495,40.488998,51.332920,45.270640,828,1217,785,8,1,,,
47,6.94649e-06,0.107934,40.898345,53.626782,46.405579,865,1250,748,8,1,,,
48,6.93198e-06,0.104111,40.199185,55.052697,46.467818,888,1321,725,8,1,,,
49,6.91597e-06,0.103437,40.197398,55.548667,46.642374,896,1333,717,8,1,,,
50,6.91521e-06,0.105182,47.176269,51.270924,49.138443,827,926,786,8,1,,,
51,6.91294e-06,0.106770,47.473027,51.828890,49.555424,836,925,777,8,1,,,
52,6.90915e-06,0.105032,50.869321,56.230626,53.415783,907,876,706,8,1,,,
53,6.90384e-06,0.104325,47.823779,55.858648,51.529883,901,983,712,8,1,,,
54,6.89703e-06,0.102203,49.846626,60.446373,54.637153,975,981,638,8,1,,,
55,6.8887e-06,0.102081,52.269939,52.820831,52.543941,852,778,761,8,1,,,
56,6.87888e-06,0.102551,51.401869,51.146931,51.274083,825,780,788,8,1,,,
