epoch,lr,loss,precision@0.5,recall@0.5,f1@0.5,TP,FP,FN,energy_gamma,energy_temp,TKR,TUR,KP
1,0.0001875,0.250429,6.092406,25.914445,9.865471,418,6443,1195,8,1,,,
2,0.0001875,0.206895,5.834665,61.128332,10.652550,986,15913,627,8,1,,,
3,0.000186346,0.185778,9.301386,85.678859,16.781009,1382,13476,231,8,1,,,
4,0.000182912,0.176563,10.050646,87.352759,18.027124,1409,12610,204,8,1,,,
1,0.0001875,0.252669,4.356616,26.720397,7.491743,431,9462,1182,8,1,,,
2,0.0001875,0.208298,5.997351,70.179789,11.050371,1132,17743,481,8,1,,,
3,0.000186346,0.186516,9.129080,83.570986,16.460101,1348,13418,265,8,1,,,
4,0.000182912,0.176553,9.066450,89.832610,16.470588,1449,14533,164,8,1,,,
5,0.000177282,0.165172,8.090474,92.250465,14.876281,1488,16904,125,8,1,,,
6,0.000169595,0.157371,11.613985,90.204588,20.578460,1455,11073,158,8,1,,,
7,0.000160041,0.153423,13.146220,90.018599,22.942013,1452,9593,161,8,1,,,
8,0.000148855,0.145954,11.545413,95.040298,20.589618,1533,11745,80,8,1,,,
9,0.000136312,0.143341,13.628496,92.746435,23.764893,1496,9481,117,8,1,,,
10,0.00012272,0.138482,15.728196,92.126472,26.869180,1486,7962,127,8,1,,,
11,0.000108416,0.133901,25.999635,88.282703,40.169252,1424,4053,189,8,1,,,
12,9.375e-05,0.130747,26.353854,92.622443,41.032683,1494,4175,119,8,1,,,
13,7.90843e-05,0.126729,24.524622,93.552387,38.861705,1509,4644,104,8,1,,,
14,6.47797e-05,0.121936,27.354443,83.013019,41.149355,1339,3556,274,8,1,,,
15,5.11884e-05,0.120750,28.456268,87.538748,42.950570,1412,3550,201,8,1,,,
16,3.86451e-05,0.113717,29.840547,89.336640,44.737659,1441,3388,172,8,1,,,
17,2.74587e-05,0.111205,27.005577,78.053317,40.127490,1259,3403,354,8,1,,,
18,1.79047e-05,0.108991,27.029126,86.298822,41.165163,1392,3758,221,8,1,,,
19,1.02181e-05,0.106972,29.594535,83.261004,43.667696,1343,3195,270,8,1,,,
20,4.58845e-06,0.103146,29.537768,81.215127,43.320106,1310,3125,303,8,1,,,
