epoch,lr,loss,precision@0.5,recall@0.5,f1@0.5,TP,FP,FN,energy_gamma,energy_temp,TKR,TUR,KP
1,0.0001875,0.235949,5.243764,34.407936,9.100599,555,10029,1058,8,1,,,
2,0.0001875,0.172819,6.985579,61.562306,12.547384,993,13222,620,8,1,,,
3,0.000185451,0.150402,11.019681,80.533168,19.386613,1299,10489,314,8,1,,,
4,0.000179395,0.139575,12.509960,87.600744,21.893399,1413,9882,200,8,1,,,
5,0.000169595,0.130520,10.660478,92.560446,19.118965,1493,12512,120,8,1,,,
6,0.000156481,0.125188,13.273341,87.786733,23.060011,1416,9252,197,8,1,,,
7,0.000140625,0.120273,15.394839,86.174830,26.122909,1390,7639,223,8,1,,,
8,0.00012272,0.113681,14.285714,93.490391,24.784288,1508,9048,105,8,1,,,
9,0.00010355,0.112353,17.331467,92.126472,29.174438,1486,7088,127,8,1,,,
10,8.39505e-05,0.107848,16.670371,92.994420,28.272547,1500,7498,113,8,1,,,
11,6.47797e-05,0.100783,26.109803,89.336640,40.409422,1441,4078,172,8,1,,,
12,4.6875e-05,0.098628,24.722820,92.622443,39.028213,1494,4549,119,8,1,,,
13,3.1019e-05,0.096506,24.586009,90.204588,38.640287,1455,4463,158,8,1,,,
14,1.79047e-05,0.091943,28.270215,85.616863,42.505386,1381,3504,232,8,1,,,
15,8.10511e-06,0.089669,28.990025,86.484811,43.424125,1395,3417,218,8,1,,,
