epoch,lr,loss,precision@0.5,recall@0.5,f1@0.5,TP,FP,FN,energy_gamma,energy_temp,TKR,TUR,KP
1,0.0001875,0.254697,4.745470,30.688159,8.219861,495,9936,1118,8,1,,,
2,0.0001875,0.205399,4.778860,69.063856,8.939175,1114,22197,499,8,1,,,
3,0.000182912,0.184333,8.167001,85.740856,14.913463,1383,15551,230,8,1,,,
4,0.000169595,0.175269,9.594514,89.336640,17.328042,1441,13578,172,8,1,,,
5,0.000148855,0.164822,9.997217,89.088655,17.977106,1437,12937,176,8,1,,,
6,0.00012272,0.153398,12.534602,89.832610,21.999545,1449,10111,164,8,1,,,
7,9.375e-05,0.145346,14.639882,92.622443,25.283466,1494,8711,119,8,1,,,
8,6.47797e-05,0.138465,14.590605,90.700558,25.137457,1463,8564,150,8,1,,,
9,3.86451e-05,0.132480,18.197902,89.274644,30.233046,1440,6473,173,8,1,,,
10,1.79047e-05,0.125852,19.029180,85.306882,31.117142,1376,5855,237,8,1,,,
